aspect,phrase,polarity,review
Special FX,2 hour showcase of Special FX without a semblance of a plot,negative,It is like a 2 hour showcase of Special FX without a semblance of a plot.
acting,mediocre,negative,"Oh, plus the acting is generally mediocre"
Schindler's List,survival,neutral,"It shows the depths that humanity can sink to, the horrors of our race, yet Schindler's List is about survival, about compassion, about the saving of souls, the saving of lives."
Oskar Schindler,a good person or a bad person,neutral,At the beginning of this movie it was unclear to me whether Oskar Schindler was a good person or a bad person.
Charlize,as beautiful and excellent,positive,And Charlize is as beautiful and excellent as usual.
Nolan,Nolan tries to build a James Bond movie with a science fiction element,neutral,Nolan tries to build a James Bond movie with a science fiction element so the experiment doesn't work at all.
James Bond,with a science fiction element,neutral,Nolan tries to build a James Bond movie with a science fiction element so the experiment doesn't work at all.
Charlize Theron,a nomination,neutral,Charlize Theron deserved at least a nomination for this role didn't she?!
Kaminski's,mesmerising cinematography and John Williams heartbreaking score,positive,Add Kaminski's mesmerising cinematography and John Williams heartbreaking score and you have yourself a masterpiece.
cinematography,mesmerising,positive,Add Kaminski's mesmerising cinematography and John Williams heartbreaking score and you have yourself a masterpiece.
John Williams,heartbreaking score,positive,Add Kaminski's mesmerising cinematography and John Williams heartbreaking score and you have yourself a masterpiece.
score,heartbreaking,positive,Add Kaminski's mesmerising cinematography and John Williams heartbreaking score and you have yourself a masterpiece.
action,it's still a great movie to watch with all the action,positive,"Overall, it's still a great movie to watch with all the action and would still recommend the impressive 70 mm imax version."
70 mm imax version,impressive,positive,"Overall, it's still a great movie to watch with all the action and would still recommend the impressive 70 mm imax version."
Schindler's List,shows more restraint,positive,"He has definitely matured as a director, as he shows more restraint in Schindler's List than he has ever done before."
monk's,more to set off schindler's good,neutral,"I think the significance of monk's role in the film is more to set off schindler's good, and make the good more great by making a contrast between extreme evil and great good."
's,more to set off schindler's good,neutral,"I think the significance of monk's role in the film is more to set off schindler's good, and make the good more great by making a contrast between extreme evil and great good."
cinematography,monochrome,neutral,The film proves the radical humanity in a down to up flow of water and the monochrome cinematography excels with some hint of red dress and yellow flames.
style,great plot,positive,It was well filmed and I liked the style as well as the great plot.
plot,great plot,positive,It was well filmed and I liked the style as well as the great plot.
plot,"beautifully well crafted action sequences, set against an intensely colorful and gorgeous background",positive,"The simplicity of the plot allows for some beautifully well crafted action sequences, set against an intensely colorful and gorgeous background."
action sequences,"beautifully well crafted action sequences, set against an intensely colorful and gorgeous background",positive,"The simplicity of the plot allows for some beautifully well crafted action sequences, set against an intensely colorful and gorgeous background."
background,intensely colorful and gorgeous,positive,"The simplicity of the plot allows for some beautifully well crafted action sequences, set against an intensely colorful and gorgeous background."
Tom Hardy,good,positive,"Tom Hardy is good as the character Mad Max, Charlie Theron as Furiosa was amazing, Nicholas Hold as Nux was pretty good."
Charlie Theron,Furiosa was amazing,positive,"Tom Hardy is good as the character Mad Max, Charlie Theron as Furiosa was amazing, Nicholas Hold as Nux was pretty good."
Nicholas Hold,pretty good,positive,"Tom Hardy is good as the character Mad Max, Charlie Theron as Furiosa was amazing, Nicholas Hold as Nux was pretty good."
Nux,pretty good,positive,"Tom Hardy is good as the character Mad Max, Charlie Theron as Furiosa was amazing, Nicholas Hold as Nux was pretty good."
Spielberg,"taken ""Shane"" as a model",neutral,"Spielberg should have ended the movie 10 minutes earlier when the war was over and taken ""Shane"" as a model for his ending."
Ben Kingsley,perfection,positive,Ben Kingsley and Ralph fiennes also match the perfection.
Ralph fiennes,match the perfection,positive,Ben Kingsley and Ralph fiennes also match the perfection.
Nolan,it's confusing,negative,"Nolan takes on a fascinating concept but it's executed in such a way that if you don't have the benefit of prior knowledge, it's confusing, not to mention hard to hear A LOT of the dialogue due to masks, music and mumbling."
effects,It's a movie that goes so fast,positive,"Best movie for 2015.It's a movie that goes so fast that at the end you just say ""damn i want more"" incredible effects, sound , costumes, cars..."
sound,incredible effects,positive,"Best movie for 2015.It's a movie that goes so fast that at the end you just say ""damn i want more"" incredible effects, sound , costumes, cars..."
Furiosa,Furiosa bring five wives Joe,neutral,Furiosa bring five wives Joe ..
Billy Connolly's,sorry,neutral,I felt sorry for Billy Connolly's character.
Steven Spielberg,the filmmaker who made the movie.,neutral,Steven Spielberg - the filmmaker who made the movie.
cinematography,"Nice cinematography, lots of loud explosions",positive,"Nice cinematography, lots of loud explosions."
scenery,amazing,positive,The scenery is amazing and the creation of the world post gene fading explosions was amazing and for anyone who has seen outback Australia incredibly believable.
